# OBS_DATE
2006-04-09T04:58:42.323
# TELESCOPE
ESO-VLT-U2
# INSTRUMENT
UVES
# TARGET
2MASS J13004255+1912354
# EXPOSURE TIME (SEC)
3899.9993
# PROGRAMME ID
077.C-0449(A)
# RIGHT ASCENSION
13:00:42.2
# DECLINATION
19:12:26.8
# DETECTOR GAIN
0.63
# WAVELENGTH UNIT
Angstrom
# FLUX UNIT
ADU
# COMMENT
Adapted from the FITS (Flexible Image Transport System) format is defined in 'Astronomy
and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# DATA
WAVELENGTH,FLUX
6675.5348,39.4940
6675.5739,37.4158
6675.6129,43.2962
6675.6520,43.2141
6675.6911,38.3576
6675.7302,40.8932
6675.7693,48.0568
6675.8084,38.7057
6675.8475,37.1091
6675.8866,56.4781
6675.9257,46.9877
6675.9648,35.6640
6676.0039,35.1259
6676.0430,36.7094
6676.0821,36.8751
6676.1212,38.9625
6676.1603,57.2020
6676.1994,51.5313
6676.2385,57.7495
6676.2776,42.7483
6676.3167,43.3351
6676.3557,40.6802
6676.3948,43.2100
6676.4339,45.0580
6676.4730,42.8302
6676.5121,43.0240
6676.5512,54.9250
6676.5903,43.0135
6676.6294,39.7986
6676.6685,51.2359
6676.7076,49.6464
6676.7467,41.9111
6676.7858,36.9673
6676.8249,48.8267
6676.8640,43.9474
6676.9031,51.5570
6676.9422,33.8752
6676.9813,39.3521
6677.0204,38.2969
6677.0595,39.4572
6677.0985,46.7300
6677.1376,47.9220
6677.1767,40.1329
6677.2158,40.6612
6677.2549,46.9321
6677.2940,48.5302
6677.3331,47.0661
6677.3722,48.8804
6677.4113,41.1844
6677.4504,42.0220
6677.4895,37.9163
6677.5286,46.9387
6677.5677,48.1701
6677.6068,56.1429
6677.6459,46.2788
6677.6850,43.8383
6677.7241,37.4083
6677.7632,36.9024
6677.8023,30.5624
6677.8413,39.3760
6677.8804,45.7744
6677.9195,50.1535
6677.9586,34.0286
6677.9977,48.2421
6678.0368,49.5417
6678.0759,50.5476
6678.1150,44.9871
6678.1541,44.0626
6678.1932,51.5301
6678.2323,57.7248
6678.2714,39.7761
6678.3105,32.9443
6678.3496,35.2352
6678.3887,49.8885
6678.4278,42.3793
6678.4669,33.0020
6678.5060,41.1757
6678.5451,48.3021
6678.5841,41.7626
6678.6232,34.2017
6678.6623,49.5181
6678.7014,49.1523
6678.7405,41.0258
6678.7796,41.4150
6678.8187,40.9529
6678.8578,32.3044
6678.8969,40.7818
6678.9360,61.2198
6678.9751,42.6116
6679.0142,43.4625
6679.0533,42.2096
6679.0924,37.3962
6679.1315,41.4959
6679.1706,52.2303
6679.2097,50.8691
6679.2488,41.4505
6679.2878,33.3414
6679.3269,39.3756
6679.3660,42.0225
6679.4051,36.5585
6679.4442,35.3194
6679.4833,44.6391
6679.5224,41.2390
6679.5615,47.2937
6679.6006,43.9300
6679.6397,48.1931
6679.6788,48.8389
6679.7179,31.9352
6679.7570,35.6906
6679.7961,34.7034
6679.8352,42.9579
6679.8743,30.4429
6679.9134,24.5687
6679.9525,24.5263
6679.9916,27.4507
6680.0306,40.9429
6680.0697,47.8436
6680.1088,45.2367
6680.1479,27.9767
6680.1870,35.7190
6680.2261,30.2779
6680.2652,52.7293
6680.3043,38.7650
6680.3434,37.6619
6680.3825,34.7603
6680.4216,41.3778
6680.4607,43.3043
6680.4998,30.8244
6680.5389,34.3930
6680.5780,13.6206
6680.6171,42.8161
6680.6562,54.0506
6680.6953,44.4822
6680.7344,34.8724
6680.7734,31.2629
6680.8125,29.0816
6680.8516,29.8997
6680.8907,43.4739
6680.9298,58.5870
6680.9689,38.6979
6681.0080,42.4110
6681.0471,49.5664
6681.0862,46.5757
6681.1253,45.4879
6681.1644,45.5299
6681.2035,35.5899
6681.2426,35.5366
6681.2817,45.2266
6681.3208,42.5495
6681.3599,40.9452
6681.3990,50.7581
6681.4381,44.2240
6681.4772,41.5236
6681.5162,42.6090
6681.5553,52.7018
6681.5944,52.6723
6681.6335,41.9443
6681.6726,37.8470
6681.7117,49.0213
6681.7508,45.5077
6681.7899,34.8591
6681.8290,38.8717
6681.8681,54.2030
6681.9072,49.3330
6681.9463,33.8818
6681.9854,51.4132
6682.0245,47.7071
6682.0636,41.4656
6682.1027,39.2143
6682.1418,35.3559
6682.1809,46.1799
6682.2200,54.0698
6682.2590,47.9648
6682.2981,31.6161
6682.3372,25.6068
6682.3763,43.6313
6682.4154,48.0403
6682.4545,39.8881
6682.4936,37.8977
6682.5327,34.4510
6682.5718,40.3134
6682.6109,46.0958
6682.6500,52.0825
6682.6891,47.2565
6682.7282,36.7553
6682.7673,42.9182
6682.8064,55.0386
6682.8455,64.5020
6682.8846,45.8276
6682.9237,52.4662
6682.9627,44.7437
6683.0018,43.3392
6683.0409,56.0212
6683.0800,44.9932
6683.1191,43.9044
6683.1582,47.8251
6683.1973,51.2180
6683.2364,58.2176
6683.2755,54.7296
6683.3146,51.0626
6683.3537,59.0115
6683.3928,54.3747
6683.4319,57.7041
6683.4710,57.1354
6683.5101,48.5329
6683.5492,52.2944
6683.5883,57.3512
6683.6274,67.1798
6683.6665,62.9489
6683.7055,59.3111
6683.7446,64.1597
6683.7837,61.9974
6683.8228,59.2742
6683.8619,59.7351
6683.9010,59.1058
6683.9401,58.1054
6683.9792,62.7713
6684.0183,63.2287
6684.0574,62.1818
6684.0965,57.0819
6684.1356,63.4748
6684.1747,77.7537
6684.2138,61.4853
6684.2529,58.6885
6684.2920,66.0592
6684.3311,66.0651
